cell_id,x,y,z,phi0
152,0.849644,0.378203,0.737767,0.0689285
153,0.625912,0.516704,0.300957,0.116556
154,0.596517,0.917193,0.573912,0.0416152
155,0.689835,0.239702,0.300957,0.20927
156,0.135832,0.410165,0.66319,0.0718506
157,0.92264,0.919447,0.163888,0.0171883
158,0.828336,0.868283,0.567305,0.0276099
159,0.743105,0.250356,0.268995,0.171658
160,0.555989,0.972398,0.312242,0.0274146
161,0.973065,0.709579,0.344268,0.0335497
162,0.753759,0.75109,0.237034,0.0426342
163,0.199755,0.559319,0.833652,0.063033
164,0.369308,0.268498,0.487325,0.300481
165,0.230552,0.122992,0.97173,0.0798629
166,0.828336,0.868283,0.695152,0.0235645
167,0.764413,0.783052,0.141148,0.0345431
168,0.444795,0.740436,0.865614,0.047529
169,0.0746698,0.952063,0.886686,0.0151498
170,0.66069,0.0306273,0.774234,0.219504
171,0.743105,0.761744,0.141148,0.036268
172,0.919195,0.75367,0.161496,0.0280576
173,0.175191,0.366719,0.212231,0.0908634
174,0.550884,0.40037,0.915191,0.168018
175,0.323054,0.972398,0.497037,0.0295491
176,0.69226,0.33444,0.518983,0.187333
177,0.0938836,0.442904,0.602819,0.0623526
178,0.0780122,0.781294,0.97173,0.0225324
179,0.973065,0.780153,0.924537,0.0244634
180,0.870952,0.165125,0.737767,0.0681535
181,0.205893,0.571651,0.0898805,0.0553867
182,0.498065,0.857629,0.322265,0.0301863
183,0.78572,0.868283,0.673844,0.0312465
184,0.359564,0.633897,0.268995,0.0716586
185,0.625912,0.793705,0.620574,0.0535699
186,0.274333,0.335588,0.865614,0.122103
187,0.15714,0.75109,0.215726,0.0408208
188,0.231717,0.165125,0.482074,0.167925
189,0.78572,0.633897,0.183764,0.0472531
190,0.685731,0.917193,0.156736,0.0300239
191,0.15714,0.708474,0.258341,0.0469513
192,0.653697,0.749604,0.943461,0.0422264
193,0.54068,0.154471,0.386188,0.818064
194,0.40218,0.569973,0.268995,0.0906337
195,0.565801,0.395817,0.551024,0.181584
196,0.837886,0.944795,0.640804,0.0192569
197,0.199755,0.538012,0.194418,0.0708345
198,0.713212,0.862015,0.97173,0.0314878
199,0.860298,0.367549,0.85496,0.0757362
200,0.715007,0.972398,0.202262,0.0272613
201,0.94613,0.426611,0.46567,0.0606319
202,0.881606,0.197087,0.535343,0.0851817
203,0.40218,0.484742,0.141148,0.111921
204,0.125845,0.476339,0.276871,0.0636336
205,0.40218,0.229048,0.141148,0.320447
206,0.615258,0.250356,0.141148,0.317761
