cell_id,x,y,z,phi0
207,0.585108,0.505498,0.0599203,0.0858185
208,0.879704,0.0612547,0.853748,0.0561279
209,0.0244015,0.388715,0.0235365,0.0414455
210,0.175798,0.270062,0.0705742,0.0887491
211,0.135832,0.239702,0.151802,0.0868913
212,0.34532,0.875087,0.0599203,0.0310667
213,0.389188,0.972398,0.148899,0.0255925
214,0.976276,0.611143,0.0234511,0.030709
215,0.349722,0.917193,0.179427,0.0313188
216,0.700489,0.250356,0.22638,0.226728
217,0.280135,0.832586,0.0599203,0.0291372
218,0.973065,0.394551,0.734122,0.0507021
219,0.860298,0.218395,0.322265,0.0748252
220,0.319001,0.879152,0.0299602,0.0285668
221,0.129956,0.751295,0.662999,0.03779
222,0.973065,0.873371,0.554808,0.0222371
223,0.269049,0.792143,0.0299602,0.0311395
224,0.625912,0.623243,0.130495,0.0656411
225,0.253768,0.851281,0.0898805,0.0245465
226,0.487411,0.143817,0.141148,0.742236
227,0.421519,0.211893,0.0599203,0.311551
228,0.199755,0.75109,0.705806,0.040424
229,0.796374,0.45278,0.876268,0.0836164
230,0.193565,0.948908,0.055381,0.0177203
231,0.0938836,0.870537,0.152097,0.0211686
232,0.218809,0.925371,0.0299602,0.0200304
233,0.462052,0.748837,0.0299602,0.0353078
234,0.849644,0.335588,0.801691,0.0844995
235,0.0231172,0.759144,0.0467176,0.0247147
236,0.751896,0.948219,0.0530773,0.0183376
237,0.0224111,0.973922,0.829398,0.0151184
238,0.919195,0.320006,0.826279,0.0575671
239,0.749568,0.091882,0.153811,0.123485
240,0.178096,0.0612547,0.717851,0.0610845
241,0.439373,0.917193,0.180604,0.0309749
242,0.554754,0.972398,0.922722,0.0212108
243,0.455449,0.197087,0.17311,0.390713
244,0.508269,0.421678,0.915191,0.142055
245,0.232461,0.829973,0.0898805,0.0264852
246,0.0312945,0.56072,0.27575,0.0442028
247,0.860298,0.815013,0.17311,0.0219863
248,0.189102,0.335588,0.822998,0.0956043
249,0.78572,0.783052,0.162456,0.0289132
250,0.698261,0.0306273,0.292634,0.147278
251,0.700489,0.676512,0.545997,0.0582428
252,0.78572,0.761744,0.183764,0.0305503
253,0.837858,0.585039,0.915191,0.0496126
254,0.870952,0.165125,0.695152,0.0673391
255,0.253025,0.356895,0.865614,0.110404
256,0.668527,0.239702,0.812345,0.213838
257,0.420465,0.944795,0.678973,0.0296201
258,0.973065,0.151797,0.79914,0.0368576
259,0.952046,0.485551,0.547045,0.0498275
260,0.450128,0.972398,0.264849,0.0216656
261,0.923395,0.697287,0.0842268,0.0284065
262,0.0236295,0.974694,0.500084,0.0169762
263,0.860298,0.388857,0.66319,0.0824403
264,0.0516293,0.887353,0.0733354,0.0183406
265,0.767656,0.697934,0.0898805,0.031186
266,0.476757,0.410165,0.85496,0.134428
267,0.743105,0.612589,0.162456,0.0413068
268,0.973065,0.732022,0.78705,0.0332827
269,0.391526,0.26101,0.812345,0.263811
270,0.919195,0.777563,0.827712,0.0300501
271,0.0938836,0.320006,0.847586,0.0580365
272,0.135832,0.282318,0.620574,0.116424
273,0.062589,0.871075,0.58753,0.0225646
274,0.769581,0.589031,0.915191,0.052733
275,0.775066,0.665859,0.194418,0.0412797
276,0.743105,0.527358,0.865614,0.0629399
277,0.921838,0.922192,0.693168,0.0185723
278,0.888872,0.952063,0.925318,0.0169834
279,0.94613,0.331905,0.784621,0.0518789
280,0.062589,0.869471,0.517052,0.0234416
281,0.74618,0.972398,0.299511,0.0197881
282,0.775066,0.580627,0.151802,0.056197
283,0.809087,0.0558283,0.945653,0.0619551
284,0.338256,0.655205,0.141148,0.0513384
285,0.253428,0.164243,0.0898805,0.125796
286,0.0861255,0.362276,0.92005,0.0519881
287,0.218346,0.972398,0.918217,0.0201763
288,0.746349,0.676626,0.0898805,0.0324404
289,0.700489,0.825667,0.183764,0.0295992
290,0.062589,0.672049,0.236435,0.0371011
291,0.775066,0.601935,0.17311,0.0451025
292,0.94613,0.418781,0.129008,0.0455873
293,0.423487,0.740436,0.60992,0.0486802
294,0.151623,0.972398,0.513211,0.0221493
295,0.498065,0.836321,0.492727,0.0298831
296,0.597838,0.664935,0.0599203,0.0496707
297,0.269125,0.917193,0.683222,0.0261542
298,0.135832,0.793705,0.343573,0.0314964
299,0.0312945,0.150925,0.860046,0.0301239
300,0.719351,0.0231172,0.977396,0.0815849
301,0.1368,0.763064,0.589764,0.0390746
302,0.792264,0.684299,0.0599203,0.0304763
303,0.64722,0.815013,0.791037,0.0374086
304,0.870952,0.655205,0.844306,0.0447678
305,0.764413,0.868283,0.716459,0.0309965
306,0.178448,0.836321,0.17311,0.0242425
307,0.977098,0.973922,0.830816,0.0159124
308,0.870952,0.527358,0.844306,0.0658453
309,0.596393,0.091882,0.843866,0.688685
310,0.404245,0.091882,0.864917,0.6334
311,0.790865,0.241347,0.943461,0.100711
312,0.94613,0.179395,0.479225,0.0603699
313,0.776979,0.184806,0.0898805,0.101746
314,0.774649,0.804923,0.943461,0.0311819
315,0.800752,0.972398,0.827085,0.0232305
316,0.240002,0.607406,0.628438,0.0621535
317,0.854688,0.342999,0.943461,0.0714082
318,0.849644,0.527358,0.822998,0.0727043
319,0.479949,0.0306273,0.644873,1.7486
320,0.684048,0.0537445,0.949127,0.149014
321,0.189102,0.31428,0.290303,0.122804
322,0.15714,0.793705,0.47142,0.0351955
323,0.860298,0.495396,0.85496,0.0667143
324,0.404479,0.270419,0.915191,0.232098
325,0.83899,0.495396,0.833652,0.0759605
326,0.687247,0.212245,0.943461,0.183264
327,0.15714,0.75109,0.130495,0.0395049
328,0.775066,0.388857,0.556651,0.102425
329,0.637334,0.944795,0.853532,0.024749
330,0.668527,0.388857,0.85496,0.127326
331,0.59395,0.761744,0.141148,0.0394845
332,0.619735,0.351342,0.704847,0.224999
333,0.785435,0.669665,0.915191,0.0416079
334,0.83899,0.26101,0.791037,0.0933021
335,0.0553508,0.0546836,0.245712,0.0332389
336,0.615258,0.719128,0.652536,0.0681076
337,0.500169,0.974694,0.974694,0.0200337
338,0.870952,0.31428,0.737767,0.07636
339,0.50978,0.161299,0.915191,0.552108
340,0.94613,0.790952,0.682921,0.0298679
341,0.199755,0.367549,0.17311,0.0808161
342,0.596517,0.597221,0.915191,0.0789551
343,0.689835,0.367549,0.812345,0.142693
344,0.0938836,0.506226,0.68296,0.0452427
345,0.062589,0.460832,0.847712,0.048756
346,0.146486,0.69782,0.844306,0.0333854
347,0.64722,0.282318,0.85496,0.190948
348,0.788546,0.944795,0.75883,0.0270732
349,0.062589,0.294452,0.741565,0.0661949
350,0.444795,0.335588,0.865614,0.180436
351,0.265071,0.91663,0.893988,0.0260334
352,0.137204,0.944795,0.752058,0.0208576
353,0.178448,0.559319,0.791037,0.0621766
354,0.0233531,0.953688,0.131429,0.0163939
355,0.919195,0.347487,0.69611,0.0621733
356,0.919195,0.437375,0.690809,0.0550233
357,0.702823,0.410377,0.240404,0.12483
358,0.275996,0.60979,0.97173,0.0509814
359,0.657873,0.442127,0.780383,0.123783
360,0.590199,0.944795,0.869741,0.0315241
361,0.0477576,0.651356,0.98372,0.0280303
362,0.46847,0.42649,0.943461,0.0979256
363,0.15714,0.45278,0.85496,0.0625426
364,0.062589,0.331905,0.784621,0.0546605
365,0.316948,0.31428,0.844306,0.162328
366,0.881093,0.774236,0.0299602,0.0232308
367,0.49047,0.130436,0.0599203,0.708591
368,0.83899,0.197087,0.343573,0.095624
369,0.881606,0.346241,0.322265,0.0908566
370,0.572642,0.761744,0.247688,0.0455298
371,0.489328,0.406041,0.97173,0.118331
372,0.821182,0.17378,0.0599203,0.0788533
373,0.167794,0.143817,0.332919,0.0771098
374,0.519373,0.324934,0.876268,0.170906
375,0.713513,0.170737,0.943461,0.138559
376,0.0790521,0.643163,0.95545,0.0307063
377,0.418638,0.77583,0.915191,0.0401584
378,0.530027,0.356895,0.865614,0.169812
379,0.876974,0.0612547,0.752085,0.0574301
380,0.172572,0.815218,0.662999,0.0330396
