cell_id,x,y,z,phi0
273,0.062589,0.871075,0.58753,0.0218177
274,0.769581,0.589031,0.915191,0.053845
275,0.775066,0.665859,0.194418,0.0444292
276,0.743105,0.527358,0.865614,0.0652111
277,0.921838,0.922192,0.693168,0.0197747
278,0.888872,0.952063,0.925318,0.0167528
279,0.94613,0.331905,0.784621,0.0518455
280,0.062589,0.869471,0.517052,0.0230235
281,0.74618,0.972398,0.299511,0.0239368
282,0.775066,0.580627,0.151802,0.0585213
283,0.809087,0.0558283,0.945653,0.0650762
284,0.338256,0.655205,0.141148,0.0569935
285,0.253428,0.164243,0.0898805,0.120971
286,0.0861255,0.362276,0.92005,0.0482957
287,0.218346,0.972398,0.918217,0.0189778
288,0.746349,0.676626,0.0898805,0.0369031
289,0.700489,0.825667,0.183764,0.0357384
290,0.062589,0.672049,0.236435,0.0373804
291,0.775066,0.601935,0.17311,0.0483796
292,0.94613,0.418781,0.129008,0.0440776
293,0.423487,0.740436,0.60992,0.0506759
294,0.151623,0.972398,0.513211,0.0222263
295,0.498065,0.836321,0.492727,0.0325418
296,0.597838,0.664935,0.0599203,0.0606497
297,0.269125,0.917193,0.683222,0.0256492
298,0.135832,0.793705,0.343573,0.0324336
299,0.0312945,0.150925,0.860046,0.0300253
300,0.719351,0.0231172,0.977396,0.0858056
301,0.1368,0.763064,0.589764,0.0387965
302,0.792264,0.684299,0.0599203,0.0337473
303,0.64722,0.815013,0.791037,0.039141
304,0.870952,0.655205,0.844306,0.0456925
305,0.764413,0.868283,0.716459,0.0332322
306,0.178448,0.836321,0.17311,0.027158
307,0.977098,0.973922,0.830816,0.0159573
308,0.870952,0.527358,0.844306,0.0669705
309,0.596393,0.091882,0.843866,0.708126
310,0.404245,0.091882,0.864917,0.618107
311,0.790865,0.241347,0.943461,0.103595
312,0.94613,0.179395,0.479225,0.0616958
313,0.776979,0.184806,0.0898805,0.100717
314,0.774649,0.804923,0.943461,0.0312888
315,0.800752,0.972398,0.827085,0.0239611
316,0.240002,0.607406,0.628438,0.0624465
317,0.854688,0.342999,0.943461,0.0734206
318,0.849644,0.527358,0.822998,0.0751766
319,0.479949,0.0306273,0.644873,1.73881
320,0.684048,0.0537445,0.949127,0.153802
321,0.189102,0.31428,0.290303,0.119614
322,0.15714,0.793705,0.47142,0.0347672
323,0.860298,0.495396,0.85496,0.0676529
324,0.404479,0.270419,0.915191,0.225369
325,0.83899,0.495396,0.833652,0.0785797
326,0.687247,0.212245,0.943461,0.187758
327,0.15714,0.75109,0.130495,0.0422754
328,0.775066,0.388857,0.556651,0.103731
329,0.637334,0.944795,0.853532,0.0257117
330,0.668527,0.388857,0.85496,0.133971
331,0.59395,0.761744,0.141148,0.0482189
332,0.619735,0.351342,0.704847,0.236388
333,0.785435,0.669665,0.915191,0.0422573
334,0.83899,0.26101,0.791037,0.0949855
335,0.0553508,0.0546836,0.245712,0.0346689
336,0.615258,0.719128,0.652536,0.0717502
337,0.500169,0.974694,0.974694,0.0191895
338,0.870952,0.31428,0.737767,0.0765758
339,0.50978,0.161299,0.915191,0.549344
340,0.94613,0.790952,0.682921,0.0311624
341,0.199755,0.367549,0.17311,0.0775599
342,0.596517,0.597221,0.915191,0.079406
343,0.689835,0.367549,0.812345,0.148608
344,0.0938836,0.506226,0.68296,0.042755
345,0.062589,0.460832,0.847712,0.0452655
346,0.146486,0.69782,0.844306,0.0319279
347,0.64722,0.282318,0.85496,0.199449
348,0.788546,0.944795,0.75883,0.0286549
349,0.062589,0.294452,0.741565,0.0635819
350,0.444795,0.335588,0.865614,0.177928
351,0.265071,0.91663,0.893988,0.0246139
352,0.137204,0.944795,0.752058,0.0199614
353,0.178448,0.559319,0.791037,0.0589505
354,0.0233531,0.953688,0.131429,0.0174536
355,0.919195,0.347487,0.69611,0.0621444
356,0.919195,0.437375,0.690809,0.0564876
357,0.702823,0.410377,0.240404,0.130532
358,0.275996,0.60979,0.97173,0.0489598
359,0.657873,0.442127,0.780383,0.12851
360,0.590199,0.944795,0.869741,0.0318396
361,0.0477576,0.651356,0.98372,0.0260421
362,0.46847,0.42649,0.943461,0.0965637
363,0.15714,0.45278,0.85496,0.0596761
364,0.062589,0.331905,0.784621,0.0516312
365,0.316948,0.31428,0.844306,0.155777
366,0.881093,0.774236,0.0299602,0.0247371
367,0.49047,0.130436,0.0599203,0.730007
368,0.83899,0.197087,0.343573,0.0958929
369,0.881606,0.346241,0.322265,0.0886138
370,0.572642,0.761744,0.247688,0.0539007
371,0.489328,0.406041,0.97173,0.116189
372,0.821182,0.17378,0.0599203,0.077838
373,0.167794,0.143817,0.332919,0.0752402
374,0.519373,0.324934,0.876268,0.17462
375,0.713513,0.170737,0.943461,0.142672
376,0.0790521,0.643163,0.95545,0.0286422
377,0.418638,0.77583,0.915191,0.0384383
378,0.530027,0.356895,0.865614,0.172461
379,0.876974,0.0612547,0.752085,0.0612261
380,0.172572,0.815218,0.662999,0.0320251
381,0.15714,0.410165,0.876268,0.0676771
382,0.135832,0.793705,0.215726,0.034791
383,0.764413,0.378203,0.354227,0.121435
384,0.409168,0.0306273,0.594172,0.554452
385,0.919195,0.16274,0.34352,0.0575304
386,0.32791,0.358402,0.915191,0.122785
387,0.117789,0.115584,0.0299602,0.0403231
388,0.554754,0.0306273,0.922722,1.53676
389,0.638899,0.4743,0.155173,0.129719
390,0.681515,0.516916,0.240404,0.100902
391,0.253025,0.143817,0.41815,0.16383
392,0.732451,0.388857,0.599266,0.119734
393,0.94613,0.368773,0.677138,0.0576045
394,0.146486,0.868283,0.844306,0.0212496
395,0.714361,0.835708,0.943461,0.0328757
396,0.54068,0.559319,0.833652,0.102607
397,0.328414,0.917193,0.222043,0.0365852
398,0.973065,0.293321,0.696893,0.0521327
399,0.743105,0.69782,0.695152,0.0487982
400,0.94613,0.871075,0.58753,0.0249873
401,0.979665,0.889226,0.956763,0.0191798
402,0.855419,0.570791,0.47403,0.0546638
403,0.949528,0.294376,0.948194,0.0483938
404,0.276863,0.0306273,0.830062,0.0824588
405,0.346872,0.33268,0.617728,0.227544
406,0.881606,0.431473,0.727113,0.0678814
407,0.561988,0.793705,0.876268,0.0435301
408,0.860298,0.239702,0.812345,0.0901201
409,0.495876,0.917193,0.311199,0.0287432
410,0.949575,0.190993,0.948241,0.0423095
411,0.700112,0.347487,0.915191,0.141887
412,0.13177,0.489136,0.943461,0.0486015
413,0.94613,0.765894,0.590132,0.0324749
414,0.732451,0.729782,0.876268,0.0411447
415,0.973065,0.313069,0.554389,0.050028
416,0.701995,0.239937,0.915191,0.175807
417,0.80215,0.560137,0.591223,0.0717636
418,0.753759,0.388857,0.769729,0.116815
419,0.858361,0.833772,0.943461,0.0235942
420,0.182051,0.479995,0.915191,0.0589334
421,0.351924,0.13213,0.943461,0.216653
422,0.929794,0.600999,0.927181,0.0378601
423,0.831659,0.777566,0.915191,0.025834
424,0.94613,0.821704,0.833766,0.0276446
425,0.450005,0.0306273,0.917458,1.58681
426,0.146486,0.143817,0.865614,0.0587043
427,0.135832,0.282318,0.66319,0.0939812
428,0.146486,0.165125,0.268995,0.0722689
429,0.175114,0.0612547,0.839821,0.0635951
430,0.721797,0.356895,0.737767,0.129966
431,0.483097,0.178761,0.943461,0.381425
432,0.0690767,0.0203347,0.979036,0.0199407
433,0.52738,0.17926,0.0599203,0.386823
434,0.304257,0.353988,0.724267,0.15603
435,0.0224111,0.0252009,0.82933,0.0205868
436,0.231394,0.441145,0.97173,0.0720904
437,0.441719,0.245266,0.943461,0.229071
438,0.860298,0.26101,0.705806,0.0953435
439,0.620199,0.521349,0.0299602,0.0868371
440,0.436924,0.0306273,0.715034,1.42535
441,0.919195,0.166536,0.827972,0.0547117
442,0.572642,0.335588,0.844306,0.206575
443,0.493564,0.0306273,0.840274,1.72358
444,0.664433,0.180049,0.915191,0.216565
445,0.0938836,0.610369,0.744421,0.041165
446,0.84126,0.212432,0.0299602,0.0652217
447,0.34891,0.239702,0.130495,0.207211
448,0.282659,0.134498,0.574336,0.245945
449,0.249189,0.136233,0.0599203,0.104545
450,0.668527,0.197087,0.17311,0.201972
451,0.622204,0.6383,0.658171,0.096993
452,0.635926,0.0612547,0.505658,0.401073
453,0.743105,0.31428,0.801691,0.145258
454,0.545873,0.492563,0.0299602,0.100571
455,0.575209,0.091882,0.59522,0.971246
456,0.973065,0.56072,0.27575,0.0443943
457,0.830282,0.091882,0.339312,0.0813996
458,0.94613,0.1762,0.620144,0.0539214
459,0.973065,0.148164,0.614845,0.0405159
460,0.115579,0.0306273,0.881673,0.0363051
461,0.0312945,0.638325,0.321826,0.0387618
462,0.272358,0.301525,0.475606,0.171057
463,0.685741,0.158741,0.915191,0.149003
464,0.668527,0.282318,0.876268,0.163796
465,0.232092,0.0306273,0.221033,0.0740406
466,0.0235583,0.0244015,0.388677,0.0253894
467,0.0312945,0.83744,0.322503,0.0237574
468,0.569085,0.944795,0.652952,0.0345843
469,0.124034,0.972398,0.448525,0.0194891
